tk_number,address,lat,lng,offices
27,"Москва, Энтузиастов ш., 80, ТЦ МаксСити",55.7648342,37.7885244,"Кочегаров,Максутов,Мелкумян"
29,"Москва, Борисовские Пруды ул., 26/2, ТЦ Братеево (М.Алма-Атинская )",55.6353114,37.7263482,"Максутов,Мелкумян,Новикова"
108,"Москва, Федоскинское, д. Шолохово, ш. Дмитровское стр.10",56.0489571,37.5350606,"Кочегаров,Максутов,Тысленко"
116,"Московская область, Елино, стр. 20/2",56.2503000,36.7641940,"Караблин,Кирюхов,Максутов"
124,"Москва, 7-я Кожуховская ул., 9, ТЦ Мозайка (М. МЦК Дубровка)",55.7107625,37.6756409,"Максутов,Мелкумян,Новикова,Тураров2"
128,"Московская область, Пригородная улица, с 90",55.7907728,38.9828223,"Максутов,Мелкумян,Тураров2"
130,"Московская область, Новоугличское ш., 85, ТЦ Капитолий",56.3397434,38.1246672,"Кочегаров,Максутов,Мелкумян,Тураров2"
150,"Московская область, Большая Тарасовская вл 6",55.9536904,37.8181906,"Максутов,Мелкумян,Чубуков.И"
160,"Москва, Волгоградский пр., 177, стр. 1 (М. Кузьминки/Юго-Восточная)",55.4235505,37.3931110,"Величкин,Кунец,Максутов,Мелкумян"
168,"Московская область, Истра, МО Московская ул., уч. 61 (МЦД - 1 Сетунь)",55.9069051,36.8838905,"Величкин2,Голованец,Максутов,Мелкумян,Новикова,Чубуков.И"
169,"Московская область, ул. Бирлово Поле, 1А",56.3457538,37.5467266,"Величкин2,Максутов,Тысленко,Чубуков.И"
175,"Московская область, Борисово, 111А",54.9098817,37.4823328,"Величкин,Кунец,Максутов,Тысленко,Чубуков.И"
182,"Москва, Ленинский пр., 123, ТЦ Галеон (М. Тропарево)",55.9364891,37.8794107,"Величкин,Величкин2,Мелкумян"
183,"Москва, Чечерский проезд, 51, ТЦ Бутово-молл (М.Бунниская Аллея)",55.5250680,37.5178030,"Величкин2,Кочегаров,Мелкумян"
196,"Московская область, Домодедово, Кирова ул., 28",55.4316307,37.7514175,"Величкин2,Голованец,Максутов,Тураров2"
246,"Московская область, Пушкина ул., 125, ТЦ КАДО",54.9661150,39.0277440,"Максутов,Мелкумян,Тысленко"
260,"Московская область, Астахова ул., 4, к. 4",55.0673484,38.7513032,"Величкин2,Кунец,Максутов,Новикова,Тысленко"
277,"Московская область, Свободы пл., 2, ТЦ Воскресенский Пассаж",55.3878420,36.7348920,"Величкин,Голованец,Кочегаров,Максутов,Тысленко"
